290->260: 0, total: 0
260->410: 33, total: 33
410->15: 1, total: 34
15->7: 23, total: 57
7->328: 15, total: 72
328->429: 26, total: 98
429->425: 0, total: 98
425->424: 0, total: 98
424->72: 0, total: 98
72->74: 12, total: 110
74->51: 0, total: 110
51->322: 0, total: 110
322->215: 0, total: 110
215->109: 24, total: 134
109->121: 1, total: 135
121->120: 24, total: 159
120->197: 24, total: 183
197->140: 0, total: 183
140->158: 25, total: 208
158->96: 0, total: 208
96->308: 0, total: 208
308->160: 0, total: 208
160->84: 11, total: 219
84->55: 0, total: 219
55->129: 0, total: 219
129->127: 25, total: 244
127->54: 0, total: 244
54->399: 15, total: 259
399->320: 0, total: 259
320->404: 0, total: 259
404->311: 4, total: 263
311->357: 0, total: 263
357->258: 0, total: 263
258->102: 0, total: 263
102->377: 0, total: 263
377->408: 16, total: 279
408->186: 0, total: 279
186->183: 0, total: 279
183->366: 0, total: 279
366->239: 12, total: 291
239->211: 0, total: 291
211->48: 0, total: 291
48->47: 0, total: 291
47->143: 0, total: 291
143->295: 33, total: 324
295->42: 0, total: 324
42->398: 23, total: 347
398->2: 0, total: 347
2->332: 12, total: 359
332->154: 24, total: 383
154->369: 25, total: 408
369->317: 0, total: 408
317->402: 0, total: 408
402->201: 0, total: 408
201->296: 25, total: 433
296->168: 0, total: 433
168->351: 23, total: 456
351->100: 2, total: 458
100->435: 2, total: 460
435->235: 21, total: 481
235->212: 0, total: 481
212->268: 25, total: 506
268->257: 0, total: 506
257->8: 23, total: 529
8->83: 0, total: 529
83->270: 0, total: 529
270->411: 0, total: 529
411->422: 0, total: 529
422->200: 0, total: 529
200->385: 0, total: 529
385->348: 0, total: 529
348->198: 26, total: 555
198->139: 0, total: 555
139->220: 25, total: 580
220->185: 0, total: 580
185->315: 0, total: 580
315->223: 0, total: 580
223->338: 0, total: 580
338->397: 23, total: 603
397->355: 0, total: 603
355->353: 0, total: 603
353->195: 0, total: 603
195->418: 0, total: 603
418->358: 0, total: 603
358->342: 0, total: 603
342->283: 0, total: 603
283->272: 0, total: 603
272->433: 0, total: 603
433->428: 0, total: 603
428->381: 0, total: 603
381->276: 0, total: 603
276->19: 0, total: 603
19->406: 25, total: 628
406->389: 0, total: 628
389->426: 0, total: 628
426->285: 0, total: 628
285->219: 0, total: 628
219->400: 18, total: 646
400->117: 1, total: 647
117->115: 23, total: 670
115->217: 25, total: 695
217->89: 0, total: 695
89->177: 25, total: 720
177->343: 25, total: 745
343->244: 0, total: 745
244->232: 0, total: 745
232->259: 0, total: 745
259->162: 24, total: 769
162->94: 0, total: 769
94->378: 0, total: 769
378->335: 0, total: 769
335->362: 27, total: 796
362->45: 0, total: 796
45->349: 16, total: 812
349->251: 4, total: 816
251->122: 0, total: 816
122->184: 0, total: 816
184->254: 0, total: 816
254->253: 0, total: 816
253->207: 0, total: 816
207->405: 33, total: 849
405->210: 26, total: 875
210->229: 1, total: 876
229->291: 0, total: 876
291->437: 0, total: 876
437->231: 0, total: 876
231->416: 0, total: 876
416->339: 31, total: 907
339->392: 0, total: 907
392->388: 0, total: 907
388->180: 0, total: 907
180->64: 0, total: 907
64->284: 33, total: 940
284->1: 0, total: 940
1->125: 0, total: 940
125->52: 0, total: 940
52->324: 33, total: 973
324->206: 0, total: 973
206->345: 16, total: 989
345->246: 0, total: 989
246->319: 2, total: 991
319->189: 16, total: 1007
189->86: 0, total: 1007
86->32: 0, total: 1007
32->309: 25, total: 1032
309->261: 0, total: 1032
261->11: 23, total: 1055
11->337: 1, total: 1056
337->274: 1, total: 1057
274->373: 0, total: 1057
373->304: 0, total: 1057
304->403: 0, total: 1057
403->365: 0, total: 1057
365->12: 15, total: 1072
12->41: 0, total: 1072
41->233: 1, total: 1073
233->213: 0, total: 1073
213->77: 0, total: 1073
77->394: 25, total: 1098
394->383: 1, total: 1099
383->67: 18, total: 1117
67->267: 0, total: 1117
267->393: 16, total: 1133
393->391: 0, total: 1133
391->384: 27, total: 1160
384->28: 0, total: 1160
28->6: 0, total: 1160
6->65: 0, total: 1160
65->25: 0, total: 1160
25->38: 0, total: 1160
38->372: 2, total: 1162
372->438: 2, total: 1164
438->330: 27, total: 1191
