Instance: u120_00, bins required: 54 (48)
Instance: u120_01, bins required: 52 (49)
Instance: u120_02, bins required: 49 (46)
Instance: u120_03, bins required: 55 (49)
Instance: u120_04, bins required: 56 (50)
Instance: u120_05, bins required: 53 (48)
Instance: u120_06, bins required: 54 (48)
Instance: u120_07, bins required: 53 (49)
Instance: u120_08, bins required: 57 (51)
Instance: u120_09, bins required: 50 (46)
Instance: u120_10, bins required: 56 (52)
Instance: u120_11, bins required: 59 (49)
Instance: u120_12, bins required: 50 (48)
Instance: u120_13, bins required: 55 (49)
Instance: u120_14, bins required: 55 (50)
Instance: u120_15, bins required: 58 (48)
Instance: u120_16, bins required: 57 (52)
Instance: u120_17, bins required: 61 (52)
Instance: u120_18, bins required: 51 (49)
Instance: u120_19, bins required: 56 (50)
