TotalSheetsAreaUsed = 500

Item 1 (item size 1x6) placed on sheet 2 (sheet size 10x30), at (0, 21), rotated: 0
Item 2 (item size 2x8) placed on sheet 2 (sheet size 10x30), at (0, 28), rotated: 1
Item 3 (item size 6x5) placed on sheet 5 (sheet size 10x20), at (0, 7), rotated: 1
Item 4 (item size 4x9) placed on sheet 2 (sheet size 10x30), at (0, 17), rotated: 1
Item 5 (item size 8x7) placed on sheet 5 (sheet size 10x20), at (0, 13), rotated: 0
Item 6 (item size 2x8) placed on sheet 2 (sheet size 10x30), at (0, 4), rotated: 0
Item 7 (item size 7x5) placed on sheet 5 (sheet size 10x20), at (0, 0), rotated: 1
Item 8 (item size 3x1) placed on sheet 5 (sheet size 10x20), at (5, 12), rotated: 0
Item 9 (item size 1x4) placed on sheet 5 (sheet size 10x20), at (5, 0), rotated: 1
Item 10 (item size 2x2) placed on sheet 5 (sheet size 10x20), at (5, 10), rotated: 0
Item 11 (item size 9x5) placed on sheet 5 (sheet size 10x20), at (5, 1), rotated: 1
Item 12 (item size 2x1) placed on sheet 5 (sheet size 10x20), at (8, 13), rotated: 0
Item 13 (item size 1x4) placed on sheet 2 (sheet size 10x30), at (0, 12), rotated: 0
Item 14 (item size 5x6) placed on sheet 2 (sheet size 10x30), at (1, 12), rotated: 1
Item 15 (item size 6x6) placed on sheet 2 (sheet size 10x30), at (1, 22), rotated: 0
Item 16 (item size 2x6) placed on sheet 5 (sheet size 10x20), at (8, 14), rotated: 0
Item 17 (item size 5x4) placed on sheet 2 (sheet size 10x30), at (1, 0), rotated: 0
Item 18 (item size 1x6) placed on sheet 2 (sheet size 10x30), at (1, 21), rotated: 1
Item 19 (item size 8x8) placed on sheet 2 (sheet size 10x30), at (2, 4), rotated: 0
Item 20 (item size 5x3) placed on sheet 2 (sheet size 10x30), at (7, 22), rotated: 1
